SpriteID,Nome do Cliente,Dificuldade,Descrição,Resumo,Pagamento,Prazo
0,"Margarete de Baguette",Baixa,"Tenho uma padaria chamada Cassetinho Fofo, em Porto Alegre. Meus clientes ADORAM TUDO, especialmente o pudim de passas. Porém, ultimamente esses pudinzinhos andam acabando rápido demais. Estou desconfiando do meu irmão Toninho, que é apaixonado por pudim de passas.","Por isso, preciso de um software de controle de estoque e venda de produtos para não ficar mais no prejuízo!",6865,8
1,"Eike Patinhas",Baixa,"Minha querida filhinha Pérola irá fazer sua primeira viagem para Dubai. Como sempre digo, é muito importante saber o valor do dinheiro. Por isso darei uma quantia fixa de gastos de 200 mil doláres. Apesar de ter apenas 12 anos, terá que ralar para controlar seus gastos!","Para isso, preciso de um software de gastos pessoais, contendo cartões e saques com descrição.",1619,7
2,"Geraldo Hardwheel",Baixa,"Ai meu Deus! Os carros não param! Entra um, sai dois, entra dois, sai um. Não sei qual carro é de quem nem quem paga pelo o que! Tudo que eu queria é tempo pra eu jogar Parking Game em paz!","Preciso de alguma coisa que trabalhe pra mim, como um software de controle de vagas, tempo de permanência e pagamento.",825,9
3,"Sara Lee",Baixa,"Meu marido acha que eu gasto tempo demais cuidando dos meus pets, especialmente da Marylou. Por ele, a minha galinha já teria ido para panela. Preciso muito de algo que me ajude a cuidar deles.","Gostaria muuuito de um software para avisar data de vacinação, quantidade de alimento e frequência de banhos. Como também uma tabela de gastos.",1311,6
4,"Kim Katagrana",Média,"Sou dono do famoso supermercado CaroMar, preciso que façam algo que eu possa controlar meu enorme estoque de produtos caríssimos e principalmente provar que coxinha vende mais que mortadela.","Um software que controla estoques, fornecedores e vendas (incluindo gráficos), seria ideal para mim!",6544,8
5,"Astolfo Perrengue",Média,"Queria ser tranquilo como vocês! Sabem o quanto o domínio dos recursos multimídia faz diferença?! Essa interface de TV que fizeram não está boa, melhor começar do zero. Mas da repetição que advém o aprendizado. Foquem no aprendizado.","Por favor, refaçam a Interface de SmartTV que vocês fizeram para mim!",2921,7
6,"Maria do Pente",Média,"Meus gatos adoram ser fotografados e eu adoro fotografá-los. No entanto, às vezes é difícil capturar a magia dos bichanos direto na câmera. Preciso de um programa que ajude donos de gatos como eu a mostrar pro mundo a verdadeira beleza dos felinos.","Preciso muito de um software para cortar e redimensionar imagens, aplicar filtros e criar um álbum para impressão.",5710,8
7,"José M. Allandro",Média,"Dizem que todo dia sai um mané, digo, sortudo de casa. Agora, se dependesse de mim, eles nem sairiam! Quero uma plataforma onde todos possam ter a emoção do poker em suas próprias casas, com uma comissão gorda pra mim pra dar mais realismo à coisa.","Você poderia criar um jogo online de vídeo poker, com transações com dinheiro real e ranking de jogadores?",5819,7
8,"Sheikh Salim",Alta,"Não aguento mais esses incompetentes! Preciso de algo para ver vazamento nos meus tubos de gás com precisão e segurança. Principalmente que o diagnóstico seja ágil.","Quero um software que analisa imagens tiradas em série em tempo real para análise de possíveis lesões em gasodutos.",8963,7
9,"Pedro Duracel",Alta,"Estou precisando de um Sistema Operacional que mantenha o conforto dos clientes usuários de carros elétricos, e que faça tudo tudo por eles de maneira inteligente!","Crie um OS para carro elétrico.",6078,6
10,"Lívio Cloud",Alta,"Está ficando difícil de controlar, são 81 senadores, não consigo olhar tantos jatinhos! Preciso de um sistema que fique de olho nesse vai e vem, eles pagam muito bem para viajar sem escândalos e com segurança.","Eu estou a procura de um sistema muito complexo, ele deve minimizar o tempo gasto pelos nossos 50 jatinhos para levar todos senadores. Não se esqueça da segurança, tem gente que não pode ver isso!",2986,6
11,"Caiu na Rede SA.",Alta,"Na era da eficiência, ninguém tem tempo para encontrar aquela pessoa especial. Por isso, queremos substituir cafezinhos e jantares por algo mais direto e eficiente. E o que seria mais romântico do que deixar um algoritmo encontrar seu par perfeito?","Preciso de uma rede social de paquera com compartilhamento de imagens e vídeos, chat anônimo, avaliação de compatibilidade e recomendação de perfis compatíveis.",8872,6
