ID,Description,Difficulty,Answer
01/01,"Um engenheiro de software deve resolver questões pertinentes aos outros componentes do sistema ou, no mínimo, encontrar quem as resolva.",Média,Verdadeiro
01/02,"Na determinação dos requisitos, uma característica especial não-funcional do software (feature) representa os comportamentos que o mesmo deve apresentar diante de certas ações de seus usuários.",Fácil,Falso
01/03,"As características finais do software devem ser definidas na especificação de requisitos, não havendo espaço para características acidentais.",Fácil,Falso
01/04,"A gestão de contratos determina como especificar o produto a ser desenvolvido e como serão feitos os procedimentos de aceitação do mesmo.",Média,Verdadeiro
01/05,"Cada requisito não atendido é considerado um defeito. Sendo assim, os defeitos associados a requisitos implícitos são os mais fáceis de tratar.",Média,Falso
02/01,"O estado de um objeto é representado pelos valores que seus atributos assumem em um determinado instante, enquanto seu comportamento é representado por operações que o mesmo pode executar.",Fácil,Verdadeiro
02/02,"Um relacionamento navegável da classe A para a classe B significa que, por meio de um objeto da classe A, é possível obter diretamente objetos relacionados da classe B.",Média,Verdadeiro
02/03,"Os diagramas de estrutura composta mostram nodos e artefatos de uma configuração e os caminhos de comunicação entre os nodos, representados por associações.",Difícil,Falso
02/04,"Os diagramas de caso de uso são comumente utilizados para descrever funções completas, podendo ser usados no nível de subsistemas e de classes.",Média,Verdadeiro
02/05,"Os diagramas de estado não representam transições internas, uma vez que são ações que não mudam efetivamente o estado do programa, análogas às interrupções.",Média,Falso
03/01,"Nas organizações produtoras de software, o diretor é o dirigente de nível intermediário, responsável por organizar, dirigir, motivar e controlar o trabalho de uma determinada área.",Difícil,Falso
03/02,"É possível constatar a imaturidade de uma organização quando seus procedimentos e padrões de produção de software são definidos e seguidos de forma burocrática.",Difícil,Verdadeiro
03/03,"Quando um programa possui um longo tempo de vida, agravam-se os problemas relacionados à escala.",Média,Verdadeiro
03/04,"A engenharia de software se assemelha muito às outras engenharias, uma vez que o software se baseia em princípios físicos estáveis e geralmente são produzidos em série.",Média,Falso
03/05,"Ao realizar uma melhoria dos processos de produção de software, é normal descobrir defeitos e inadequações, que devem ser vistos como uma oportunidade de melhoria.",Fácil,Verdadeiro
04/01,"No nível 3 de maturidade e capacitação do modelo CMMI, o processo de produção é definido e gerido com técnicas quantitativas, visando objetivos quantitativos de qualidade e desempenho.",Difícil,Falso
04/02,"Uma organização no nível 4 de maturidade e capacitação do modelo CMMI deve focar na redução das causas especiais de variação dos processos, a fim de estabilizá-los quantitativamente.",Média,Verdadeiro
04/03,"No nível 2 de maturidade e capacitação do modelo CMMI deve ser realizada a gestão de configurações, a fim de estabelecer e manter a integridade dos produtos.",Fácil,Verdadeiro
04/04,"No nível 5 de maturidade e capacitação do modelo CMMI são selecionadas e implementadas melhorias mensuráveis nos processos e nas tecnologias, tanto incrementais quanto inovadoras.",Média,Verdadeiro
04/05,"A avaliação oficial do CMMI resulta em uma classificação da empresa e é executada por um avaliados chefe credenciado, pertencente a uma organização parceira do SEI.",Difícil,Falso
05/01,"O modelo de ciclo de vida codifica-remenda é provavelmente o mais utilizado, por ser pouco arriscado e fácil de gerir.",Difícil,Falso
05/02,"Processo ágeis consideraram indivíduos e interações em relação a processo e ferramentas, e resposta à mudanças em relação a seguir planos.",Média,Verdadeiro
05/03,"No processo XP, todo programador pode alterar qualquer código, sempre que necessário, desde que continue passando em todos os testes.",Fácil,Verdadeiro
05/04,"No Praxis existem disciplinas de gestão do desenho, dos requisitos e dos testes.",Difícil,Falso
05/05,"No Praxis os casos de uso representam funções do ponto de vista do usuário, medidas em tamanho funcional.",Difícil,Verdadeiro
06/01,"Um requisito diz respeito a uma condição ou potencialidade necessária no projeto final, a fim de resolver um problema ou atingir um objetivo.",Fácil,Verdadeiro
06/02,"No processo de prototipagem, os protótipos descartáveis nem sempre precisam ser efetivamente descartados, dependendo da vontade do cliente e dos usuários.",Difícil,Falso
06/03,"Um conjunto de casos de uso deve descrever a funcionalidade completa do produto, sem lacunas, de modo que cada caso de uso represente uma "fatia" da funcionalidade.",Fácil,Verdadeiro
